DayOfYear,MinuteOfDay,Duration
294,1173,0.32
294,1174,0.1
294,1174,0.13
294,1174,0.07
294,1174,0.07
294,1174,0.01
294,1178,0.26
294,1178,0.1
294,1178,0.2
294,1182,0.23
294,1185,0.18
294,1186,0.4
294,1194,0.1
294,1194,0.01
294,1195,0.12
294,1197,0.09
294,1197,0.12
294,1200,0.12
294,1218,0.12
294,1218,0.06
294,1321,0.25
294,1322,0.03
294,1322,0.26
294,1323,0.04
294,1323,0.08
294,1328,0.31
294,1328,0.12
294,1338,0.18
294,1338,0.15
294,1338,3.06
294,1338,0.12
294,1341,0.18
294,1341,0.12
294,1355,0.21
294,1377,0.27
294,1377,0.03
294,1431,0.13
294,1431,0.06
294,1431,0.13
294,1431,0.1
294,1432,0.04
294,1432,0.18
295,9,0.26
295,10,0.09
295,10,0.25
295,11,0.08
295,11,0.04
295,15,0.21
295,16,0.1
295,16,0.12
295,16,0.11
295,17,0.11
295,17,0.23
295,17,0.23
295,17,0.01
295,17,0.04
295,18,0.06
295,18,0.07
295,18,0.36
295,523,0.33
295,524,0.14
295,524,0.07
295,533,0.21
295,533,0.12
295,533,0.06
295,533,0.01
295,534,0.07
295,545,0.02
295,551,0.36
295,551,0.03
295,552,0.11
295,552,0.14
295,555,0.25
295,555,0.07
295,556,0.19
295,563,0.24
295,569,0.48
295,570,0.03
295,570,0.12
295,570,0.18
295,574,0.03
295,574,0.05
295,1350,0.0
295,1357,0.17
295,1357,0.03
295,1357,0.1
295,1357,0.03
295,1357,0.15
295,1357,0.17
295,1358,0.12
295,1358,0.14
295,1358,0.2
295,1359,0.03
295,1362,0.39
295,1362,0.42
295,1364,0.3
295,1365,0.27
295,1365,0.09
295,1365,0.01
295,1370,0.22
295,1374,1.99
295,1375,0.0
295,1383,0.52
295,1383,0.07
295,1385,0.01
295,1427,0.08
295,1427,0.03
295,1427,0.4
295,1428,0.26
295,1429,0.19
295,1430,0.35
295,1430,0.01
295,1430,0.04
295,1430,0.21
295,1431,0.07
295,1431,0.18
295,1431,0.15
295,1431,0.04
295,1433,0.12
295,1433,0.13
296,1,0.25
296,1,0.18
296,2,0.29
296,2,0.1
296,2,0.17
296,3,0.15
296,3,0.35
296,4,0.11
296,4,0.21
296,5,0.2
296,5,0.12
296,18,0.0
296,28,0.18
296,45,0.08
296,587,0.06
296,587,0.07
296,645,0.17
296,646,0.04
296,646,0.02
296,646,0.21
296,646,0.1
296,649,1.74
296,649,0.17
296,650,0.13
296,650,0.03
296,651,0.14
296,651,0.31
296,651,0.26
296,653,0.1
296,654,0.14
296,654,0.12
296,655,0.18
296,655,0.12
296,668,0.44
296,669,0.18
296,669,0.51
296,669,0.06
296,670,0.41
296,671,0.12
296,692,0.25
296,692,0.1
296,692,0.09
296,692,0.17
296,693,0.43
296,708,0.23
296,708,0.14
296,709,0.29
296,710,0.23
296,710,0.02
296,711,0.13
296,711,0.1
296,711,0.13
296,711,0.11
296,711,0.08
296,712,0.23
296,712,0.26
296,712,0.03
296,714,0.12
296,778,0.12
296,901,0.33
296,902,0.12
296,903,0.28
296,903,0.13
296,904,0.09
296,904,0.2
296,904,0.21
296,904,0.02
296,1021,0.33
296,1022,0.42
296,1023,0.13
296,1023,0.41
296,1023,0.07
296,1025,0.34
296,1042,0.1
296,1124,0.12
296,1124,0.09
296,1124,0.08
296,1125,0.14
296,1125,0.18
296,1151,0.08
296,1154,0.0
296,1160,0.3
296,1162,0.06
296,1163,0.1
296,1163,0.01
296,1171,0.04
296,1172,0.19
296,1172,0.12
296,1173,0.24
296,1173,0.04
296,1173,0.04
296,1188,0.19
296,1188,0.16
296,1189,0.38
296,1190,0.46
296,1190,0.06
296,1190,0.1
296,1190,0.03
296,1190,0.03
296,1190,0.04
296,1191,0.2
296,1191,0.17
296,1233,0.12
296,1245,0.11
296,1245,0.08
296,1245,0.15
296,1247,0.18
