DayOfYear,MinuteOfDay,Duration
335,1170,0.12
335,1170,0.12
335,1347,0.19
335,1382,0.09
335,1398,0.6
336,41,0.09
336,69,0.18
336,605,0.21
336,609,0.12
336,609,0.16
336,610,0.12
336,610,0.14
336,611,0.12
336,626,0.12
336,627,0.07
336,627,0.03
336,831,0.27
336,849,0.16
336,849,0.14
336,931,0.2
336,931,0.19
336,1051,0.16
336,1086,0.05
336,1086,0.04
336,1110,0.16
337,96,0.16
337,129,0.22
337,140,0.2
337,155,0.12
337,155,0.14
337,862,0.18
337,959,0.02
337,960,0.06
337,1034,0.13
337,1034,0.06
337,1034,0.05
337,1040,0.13
337,1040,0.04
337,1040,0.1
337,1216,0.14
337,1225,0.12
337,1230,0.12
337,1255,0.16
337,1283,0.16
338,905,0.22
338,909,0.14
338,909,0.16
338,909,0.18
338,988,0.24
338,993,0.14
338,996,0.14
338,1002,0.27
338,1011,0.29
338,1011,0.08
338,1013,0.27
338,1018,0.52
338,1059,0.08
338,1059,0.04
338,1061,0.08
338,1061,0.07
338,1062,0.08
338,1063,0.02
338,1063,0.2
338,1064,0.11
338,1064,0.13
338,1064,0.09
338,1064,0.12
338,1085,0.09
338,1085,0.16
338,1122,0.12
338,1122,0.12
338,1122,0.14
338,1177,0.16
338,1219,0.14
338,1227,0.14
338,1227,0.12
338,1237,0.14
338,1321,0.14
339,11,0.15
339,13,0.14
339,13,0.12
339,13,0.03
339,14,0.08
339,15,0.03
339,16,0.04
339,17,0.04
339,25,0.06
339,27,0.18
339,28,0.04
339,28,0.13
339,35,0.05
339,35,0.04
340,481,0.1
340,481,0.12
340,488,0.54
340,489,0.11
340,489,0.12
340,552,0.17
340,775,0.06
340,775,0.07
340,777,0.12
340,833,0.23
340,979,0.27
340,979,0.02
340,979,0.01
340,979,0.12
340,980,0.17
340,980,0.14
340,981,0.12
340,981,0.23
340,981,0.09
340,1059,0.24
340,1068,0.04
340,1068,0.22
340,1077,0.03
340,1347,0.2
340,1347,0.12
340,1349,0.04
340,1349,0.06
340,1353,0.18
340,1353,0.01
340,1354,0.14
340,1354,0.18
340,1354,0.01
340,1354,0.1
340,1355,0.14
340,1355,0.16
340,1355,0.33
340,1355,0.02
341,12,0.15
341,12,0.07
341,19,0.03
341,19,0.12
341,21,0.09
341,21,0.14
341,22,0.23
341,22,0.65
341,24,0.85
341,24,0.15
341,24,0.11
341,24,0.11
341,24,0.13
341,25,0.1
341,25,0.28
341,26,0.1
341,26,0.09
341,26,0.09
341,27,0.08
341,27,0.22
341,27,0.14
341,28,0.75
341,29,0.32
341,30,0.79
341,30,0.18
341,30,0.17
341,34,0.17
341,742,0.13
341,743,0.14
341,743,0.08
341,743,0.04
341,842,0.08
341,842,0.04
341,842,0.12
341,860,0.1
341,1276,0.12
341,1276,0.16
341,1276,0.12
341,1276,0.14
341,1276,0.22
342,29,0.18
342,629,0.16
342,629,0.14
342,799,0.14
342,799,0.12
342,809,0.12
342,826,0.16
342,944,0.23
342,944,0.04
342,944,0.09
342,944,0.12
342,998,0.39
342,998,0.11
342,1042,0.27
342,1051,0.14
342,1279,0.14
342,1293,0.14
342,1293,0.16
342,1293,0.12
342,1348,0.21
342,1349,0.15
342,1353,0.14
343,128,0.2
343,865,0.14
343,1031,0.18
343,1041,0.14
343,1061,0.12
343,1073,0.12
343,1104,0.16
343,1127,0.14
343,1127,0.12
343,1154,0.2
343,1176,0.14
344,99,0.24
344,113,0.05
344,115,0.13
344,118,0.04
344,118,0.02
344,119,0.01
344,187,0.61
344,187,0.26
344,1188,0.07
344,1189,0.14
344,1189,0.14
344,1189,0.11
344,1190,0.04
344,1190,0.47
344,1190,0.14
344,1355,0.25
344,1355,0.12
344,1355,0.11
344,1355,0.12
344,1355,0.14
344,1355,0.09
344,1357,0.01
344,1413,0.12
344,1413,0.17
344,1416,0.14
345,1,0.08
345,1,0.08
345,1,0.06
345,5,2.22
345,17,0.26
345,17,0.28
345,19,0.28
345,29,5.01
345,29,0.12
345,30,0.4
345,30,0.33
345,32,0.55
345,32,0.15
345,32,0.01
345,33,0.07
345,35,0.73
345,41,1.54
345,41,0.22
345,41,0.09
345,41,0.08
345,42,0.18
345,45,0.12
345,45,0.1
345,45,0.07
345,50,0.17
345,51,0.27
345,58,0.12
345,70,0.14
345,71,0.11
345,71,0.1
345,71,0.32
345,71,0.08
345,71,0.13
345,71,0.09
345,71,0.14
345,72,0.12
345,72,0.12
345,72,0.12
345,73,0.1
345,73,0.07
345,73,0.13
345,73,0.1
345,73,0.17
345,73,0.12
345,74,0.35
345,74,0.02
345,74,0.09
345,75,0.1
345,75,0.17
345,75,0.42
345,75,0.07
345,76,0.3
345,76,0.07
345,76,0.37
345,76,0.09
345,76,0.06
345,76,0.1
345,77,0.09
345,78,1.12
345,79,0.13
345,79,0.2
345,79,0.17
345,79,0.09
345,79,0.1
345,79,0.08
345,79,0.07
345,80,0.2
345,80,0.09
