DayOfYear,MinuteOfDay,Duration
335,1287,10.0
335,1285,276.0
335,1239,6.5
335,1232,421.0
335,1231,15.5
335,1221,599.0
335,1221,12.0
335,1213,523.0
335,1212,25.0
335,1175,7.5
335,1170,32.0
335,1165,631.0
335,1165,22.5
335,1133,576.5
335,1131,2650.5
335,1104,223.5
335,1095,300.5
335,1,719.5
334,1437,235.5
334,1432,279.5
334,1393,415.0
334,1188,361.0
334,1036,310.5
334,1036,15.5
334,879,350.5
334,877,216.5
334,876,155.0
334,791,376.0
334,774,571.5
334,766,610.5
334,733,4381.0
334,256,351.0
334,127,406.5
334,123,66.5
334,122,819.5
333,1264,4381.0
333,1237,468.5
333,1231,404.0
333,1230,247.0
333,1208,753.0
333,1208,485.5
333,1084,1184.5
333,1069,339.5
333,1066,309.0
333,1066,767.0
333,987,615.5
333,979,410.5
333,977,264.5
333,975,97.0
333,974,73.5
333,861,500.0
333,858,252.0
333,857,419.0
333,290,270.0
333,245,610.5
333,205,285.0
333,180,266.5
333,178,2138.0
333,43,533.0
333,29,609.5
332,1308,313.0
332,1233,566.5
332,1227,452.5
332,1169,382.0
332,1005,2138.0
332,975,819.5
332,968,524.5
332,962,393.0
332,905,149.5
332,903,278.5
332,897,363.5
332,880,564.0
332,875,401.0
332,864,633.0
332,853,632.0
332,850,295.5
332,819,1520.5
332,818,147.5
332,798,555.0
332,759,415.0
331,1339,415.0
331,1336,206.5
331,1156,401.5
331,1151,279.5
331,1145,476.0
331,1080,462.5
331,1079,750.5
331,989,704.0
331,983,240.5
331,976,719.0
331,972,189.0
331,970,475.5
331,709,314.5
331,702,284.5
331,702,73.0
331,700,272.0
331,615,150.0
331,38,191.5
331,37,483.0
330,1048,769.0
330,1047,267.5
330,1042,485.5
330,1031,714.0
330,1031,392.5
330,858,298.0
330,853,243.5
330,840,899.0
330,838,377.5
330,714,257.5
330,713,360.0
330,707,241.5
330,696,563.0
330,696,1891.5
330,692,894.0
330,456,1990.5
330,440,1491.5
330,439,1737.0
330,422,1628.5
330,9,642.0
330,9,657.5
329,1423,1628.5
329,1385,1732.5
329,1350,1737.0
329,1343,245.5
329,1341,125.5
329,888,2039.5
329,888,1920.5
329,876,695.0
329,831,2035.5
329,788,1200.5
329,779,626.0
329,779,275.0
329,771,418.0
329,765,507.5
329,761,255.5
329,759,141.0
329,87,1826.0
328,1330,285.5
328,1322,379.0
328,1319,369.0
328,1303,659.0
328,1300,298.5
328,1293,249.5
328,1281,634.0
328,1272,3574.0
328,1270,548.0
328,1256,477.0
328,1250,404.5
328,1224,630.0
328,1217,384.0
328,1213,114.0
328,1095,24.0
328,1095,28.5
328,1093,30.0
328,1092,30.5
328,1091,29.5
328,1090,27.5
328,1088,29.5
328,1081,97.0
328,1079,123.0
328,1070,463.0
328,1044,562.0
328,1028,486.0
328,1027,446.5
328,1022,828.0
328,1021,403.5
328,1020,405.0
328,949,166.5
328,948,23.5
328,943,2146.5
328,824,1480.5
328,799,1250.5
328,766,791.0
328,754,629.5
328,748,264.5
328,132,127.0
328,110,411.0
328,110,317.0
328,102,19.0
328,31,2951.0
328,21,482.0
327,1435,1283.5
327,1203,2112.0
327,1203,4140.5
327,1162,280.5
327,1154,479.5
327,772,567.5
327,770,114.5
327,764,303.5
327,759,279.5
327,751,483.0
327,744,593.5
327,743,258.0
327,741,333.0
327,741,264.0
327,576,147.5
327,549,836.5
327,544,300.0
327,541,283.5
327,528,284.5
327,527,110.0
327,522,476.0
327,520,121.0
327,515,325.0
326,1399,663.5
326,1378,541.0
326,1375,222.5
326,1371,168.5
326,1367,629.5
326,1353,301.0
326,1351,30.0
326,1350,29.0
326,1347,351.0
326,1032,254.5
326,1032,275.0
