DayOfYear,MinuteOfDay,Duration
345,1065,15
345,1073,15
336,646,15
335,546,60
335,549,30
332,692,15
332,694,30
332,697,60
329,1326,15
326,1402,15
326,1404,15
323,633,15
322,704,60
322,1264,45
322,1266,105
322,1271,15
322,1272,30
322,1279,45
322,1282,15
319,396,45
319,399,60
319,401,75
319,457,15
319,471,45
319,473,105
319,555,30
319,1251,225
319,1259,15
319,1268,15
316,1224,90
316,1230,30
316,1232,15
316,1233,15
316,1236,15
316,1239,45
316,1242,15
316,1243,30
316,1245,105
316,1250,15
316,1254,15
316,1256,15
316,1257,90
316,1264,30
316,1265,15
316,1267,15
316,1275,30
316,1277,15
316,1278,30
316,1280,75
316,1284,45
316,1287,15
316,1289,30
316,1291,45
316,1294,15
316,1295,15
316,1299,45
315,382,15
315,384,15
315,385,60
314,70,165
313,1058,15
313,1060,15
313,1061,15
313,1062,15
312,1161,30
312,1162,30
311,16,45
311,21,30
311,24,15
311,25,75
311,29,30
311,677,30
311,678,30
311,688,15
311,1269,15
311,1271,15
311,1273,30
310,199,15
310,200,15
310,203,30
310,204,15
310,205,15
310,209,30
310,856,135
310,924,15
310,932,45
310,973,15
310,975,45
310,977,255
310,984,30
310,994,15
308,152,15
308,153,30
308,156,15
308,157,15
308,159,15
308,160,30
308,162,30
308,164,15
308,695,30
308,697,75
308,700,15
308,702,90
308,705,15
308,707,90
307,805,30
306,385,30
306,387,45
306,390,30
306,391,45
306,396,30
304,929,15
304,930,30
304,934,15
303,132,15
303,1169,15
302,756,15
302,856,15
302,858,15
302,859,15
300,793,45
300,795,90
300,879,30
300,881,45
299,1091,15
299,1212,15
299,1225,45
299,1230,15
299,1347,15
298,534,15
298,537,15
297,787,30
297,788,30
297,791,15
297,792,45
297,795,15
297,796,15
297,1000,15
297,1003,15
297,1006,15
297,1025,15
297,1027,15
297,1029,30
297,1030,45
297,1038,60
297,1042,15
297,1044,15
297,1157,30
294,101,15
294,104,15
294,855,75
294,1121,15
294,1124,15
294,1125,45
294,1130,15
293,471,15
293,474,30
293,483,45
293,486,15
293,503,60
293,506,75
292,99,30
292,101,30
292,103,15
292,892,45
292,894,15
292,897,60
292,900,30
292,902,60
292,906,45
292,941,45
292,944,30
292,945,15
292,948,15
292,1384,45
291,31,15
291,32,15
291,33,15
291,35,15
291,40,30
291,125,15
291,838,15
291,842,30
291,844,15
291,846,15
291,847,15
291,849,30
291,854,30
291,857,15
291,862,15
291,1098,60
291,1120,15
291,1121,30
291,1123,30
291,1137,75
291,1140,15
291,1141,30
291,1143,15
291,1173,15
291,1175,15
291,1403,15
291,1404,45
291,1407,45
291,1410,15
291,1411,15
290,477,90
290,481,15
290,482,15
290,666,90
290,698,75
290,854,15
290,856,30
290,858,105
290,930,15
290,931,45
290,933,30
290,1014,45
290,1242,30
290,1247,30
290,1250,30
290,1251,90
290,1258,30
290,1260,15
290,1262,30
290,1265,45
290,1276,60
290,1278,30
290,1280,120
290,1285,30
290,1287,15
290,1288,15
290,1328,120
290,1333,30
290,1337,90
290,1340,30
290,1342,15
290,1344,135
290,1349,15
290,1401,15
290,1406,30
290,1408,45
290,1412,30
290,1414,15
290,1416,45
290,1419,15
290,1423,15
290,1425,15
290,1435,15
289,1284,90
289,1289,15
289,1290,15
289,1291,15
289,1414,15
289,1415,15
289,1427,15
289,1428,90
289,1431,15
289,1432,60
289,1434,15
289,1436,105
288,980,15
288,983,15
288,984,90
288,987,15
288,989,15
288,991,30
288,993,60
288,995,15
288,996,30
288,1006,30
288,1009,60
288,1012,30
288,1014,150
288,1020,15
288,1021,30
288,1092,30
288,1097,30
288,1099,30
288,1101,30
288,1104,45
288,1105,15
288,1234,15
288,1236,15
288,1237,75
288,1327,15
288,1328,15
288,1329,30
288,1331,15
288,1334,120
288,1340,30
288,1343,60
288,1348,60
288,1351,15
288,1353,60
288,1356,15
288,1360,30
288,1362,15
288,1363,15
288,1364,15
288,1366,30
288,1368,30
288,1371,15
288,1380,90
288,1386,90
288,1389,45
288,1392,15
288,1394,45
287,932,45
287,935,60
287,938,15
287,940,30
287,944,30
287,945,30
287,947,15
287,948,15
286,76,45
286,84,15
286,86,15
286,88,120
286,94,15
286,95,15
286,102,45
286,282,15
286,284,30
286,819,15
286,820,15
286,822,60
286,825,15
286,938,15
286,1116,15
286,1122,15
286,1132,15
286,1142,60
285,52,30
285,54,15
285,63,45
285,65,30
285,68,15
285,69,45
285,72,15
285,74,30
285,76,15
285,78,15
285,80,15
285,1299,15
285,1382,15
285,1384,15
285,1411,15
284,60,45
284,64,135
284,67,15
284,68,15
284,70,30
284,73,15
284,78,30
284,80,15
284,81,30
284,84,15
284,91,15
284,92,15
284,94,15
284,176,75
284,178,45
284,751,120
284,756,30
284,757,60
284,760,15
284,762,15
284,765,60
284,769,60
284,772,45
284,774,15
284,776,15
284,777,15
284,780,30
284,782,75
284,840,15
284,842,15
284,844,15
284,846,30
284,861,75
284,864,30
284,866,60
284,868,15
284,870,30
284,939,30
284,940,30
284,943,135
284,1001,45
284,1011,30
284,1012,15
284,1020,60
284,1120,60
284,1122,15
284,1125,135
284,1131,45
284,1357,15
283,11,30
283,12,30
283,14,30
283,16,15
283,442,75
283,445,105
283,451,15
283,453,30
283,455,30
283,457,30
283,910,30
283,911,30
283,921,15
283,924,15
283,925,30
283,927,90
283,932,75
283,935,45
283,940,15
282,2,15
282,4,30
282,5,15
282,216,30
282,219,15
282,223,45
282,226,30
282,228,15
282,229,15
282,233,15
282,235,15
282,236,15
282,774,45
282,777,90
282,814,30
282,819,105
282,824,45
282,1008,15
282,1010,45
282,1015,60
282,1037,75
282,1042,30
282,1044,30
282,1046,45
282,1053,30
282,1058,15
282,1059,30
282,1179,15
282,1198,15
281,446,15
281,450,45
281,453,15
281,454,15
281,910,15
281,911,15
281,914,15
281,915,15
280,6,15
280,11,45
280,14,75
280,18,60
280,21,15
280,22,45
280,26,195
280,35,30
280,800,45
280,821,15
280,823,15
280,901,60
280,904,45
280,906,30
280,1124,30
280,1156,15
280,1159,30
280,1160,105
280,1175,60
280,1179,15
280,1182,15
280,1183,30
280,1185,15
280,1186,30
280,1221,15
280,1223,15
280,1259,15
280,1305,15
280,1306,120
280,1311,30
280,1326,15
280,1330,45
280,1385,15
279,71,30
279,74,15
279,76,30
279,78,60
279,88,15
279,89,15
279,94,15
279,230,30
279,233,30
279,929,15
279,930,15
279,980,15
279,1166,30
279,1169,75
279,1172,30
279,1177,30
279,1182,45
279,1188,30
279,1190,75
279,1272,30
279,1274,15
279,1278,15
279,1285,75
279,1288,15
279,1300,15
279,1302,15
279,1304,15
279,1305,90
279,1312,15
279,1315,30
279,1317,15
279,1322,45
279,1324,15
279,1341,15
279,1358,75
279,1380,15
279,1384,75
279,1386,60
279,1389,30
279,1391,15
279,1392,15
279,1399,60
279,1403,15
279,1408,15
279,1410,15
279,1415,15
279,1417,15
279,1430,15
278,95,45
278,96,75
278,101,30
278,102,75
278,106,75
278,123,105
278,139,45
278,418,45
278,422,30
278,425,15
278,883,15
278,884,45
278,886,30
278,888,15
278,891,45
278,893,30
278,895,30
278,897,30
278,898,60
278,903,45
278,905,15
278,944,15
278,949,60
278,953,30
278,989,60
278,992,15
278,994,90
278,1001,15
278,1003,15
278,1005,15
278,1007,60
278,1010,15
278,1045,15
278,1046,60
278,1049,30
278,1051,60
278,1055,15
278,1056,60
278,1058,15
278,1059,30
278,1061,75
278,1064,30
278,1066,30
278,1068,30
278,1070,30
278,1072,30
278,1074,15
278,1075,30
278,1077,15
278,1097,30
278,1099,30
278,1100,30
278,1103,15
278,1104,15
278,1107,60
278,1110,30
278,1111,15
278,1113,30
278,1114,15
278,1116,30
278,1118,30
278,1120,15
278,1121,15
278,1123,30
278,1129,15
278,1131,45
278,1135,15
278,1153,30
278,1155,15
278,1156,30
278,1158,60
278,1161,15
278,1163,15
278,1270,15
278,1271,15
278,1273,60
278,1275,15
278,1276,30
278,1278,15
278,1280,15
278,1282,15
278,1283,15
278,1284,30
278,1287,60
278,1292,15
278,1294,15
278,1297,15
278,1301,15
278,1317,45
278,1319,15
278,1323,15
278,1324,15
278,1325,30
278,1329,15
278,1333,15
278,1336,15
278,1337,15
278,1339,30
278,1342,15
278,1346,15
278,1347,15
278,1349,30
278,1350,30
278,1352,45
278,1355,60
278,1357,135
278,1362,45
278,1365,15
278,1368,15
278,1369,15
278,1370,30
278,1375,15
278,1376,15
278,1378,15
277,254,30
277,255,15
277,257,15
277,260,15
277,262,15
277,264,45
277,266,15
277,268,30
277,274,90
277,279,30
277,281,15
277,282,15
277,284,45
277,286,15
277,288,15
277,289,15
277,291,30
277,903,60
277,979,45
277,981,45
277,983,150
277,989,60
277,991,75
277,1010,90
277,1046,105
277,1096,15
277,1099,15
277,1100,45
277,1103,30
277,1110,15
277,1126,15
277,1261,105
277,1266,90
277,1413,15
277,1421,15
277,1423,45
276,6,30
276,8,15
276,9,15
276,11,30
276,14,15
276,501,45
276,505,30
276,507,15
276,508,15
276,509,15
276,510,30
276,513,30
276,515,30
275,67,15
275,68,15
275,71,60
275,74,15
275,76,15
275,79,45
275,717,15
275,719,60
275,722,30
275,724,105
275,1089,15
275,1090,45
275,1094,75
275,1100,15
275,1113,45
275,1227,30
275,1230,15
275,1282,15
275,1431,30
275,1435,60
274,547,15
274,1437,45
273,868,15
273,870,15
273,871,15
273,873,75
273,875,15
273,885,15
273,886,30
273,888,45
273,1270,15
273,1271,150
273,1277,15
273,1281,105
273,1286,15
273,1288,45
273,1291,15
273,1292,30
273,1296,15
273,1297,195
273,1302,150
273,1374,15
273,1376,15
273,1377,15
273,1378,30
273,1399,60
272,80,15
272,82,45
272,129,15
272,695,60
272,699,15
272,701,15
272,703,15
272,787,45
271,482,105
270,194,15
270,195,30
270,197,15
270,199,60
270,201,15
270,203,15
270,204,45
270,210,30
270,232,15
270,233,45
270,772,15
270,775,30
270,777,15
270,780,45
270,782,15
270,784,15
270,785,30
270,788,30
270,789,45
270,806,105
270,810,15
270,811,30
270,814,30
270,815,15
270,816,15
270,905,30
270,921,15
270,923,60
270,925,225
270,934,15
270,936,15
270,938,15
270,1140,90
270,1143,15
270,1166,30
270,1188,15
270,1189,30
270,1317,120
270,1321,15
270,1322,15
270,1324,45
270,1328,15
269,188,15
269,190,45
269,192,15
269,245,15
269,247,15
269,1171,15
269,1177,15
269,1180,15
269,1182,90
269,1195,30
269,1197,15
269,1200,45
269,1204,15
269,1205,45
269,1206,30
269,1209,15
269,1210,30
269,1256,15
268,447,45
268,451,15
268,452,15
268,454,15
267,1,30
267,86,30
267,87,75
267,91,60
267,94,30
267,100,30
267,104,15
267,106,30
267,448,30
267,450,30
267,452,15
267,454,30
267,457,60
267,460,45
267,487,15
267,1138,15
267,1140,30
267,1142,15
267,1143,45
267,1148,30
267,1152,60
267,1154,30
267,1156,30
267,1157,45
267,1160,30
267,1163,30
267,1164,45
267,1168,15
267,1170,15
267,1298,30
267,1301,45
267,1333,15
267,1336,15
267,1342,15
267,1345,15
267,1348,15
267,1349,15
267,1350,15
267,1353,15
267,1355,30
266,20,45
266,22,15
266,24,15
266,25,15
266,58,60
266,61,15
266,478,45
266,481,15
266,483,30
266,485,15
266,488,30
266,580,60
266,583,105
266,587,60
266,590,45
266,1437,60
265,0,30
265,2,15
265,20,15
265,22,45
265,24,75
265,28,15
265,33,15
265,47,15
265,61,15
265,63,15
265,78,15
265,80,30
265,92,30
265,124,30
265,126,30
265,129,15
265,130,15
265,133,15
265,134,15
265,136,15
265,141,15
265,147,15
265,150,15
265,153,15
265,234,30
265,235,15
265,245,15
265,856,15
265,858,30
265,860,15
265,897,15
265,931,30
265,933,15
265,934,15
265,943,15
265,959,45
265,961,225
265,970,45
265,974,105
265,1002,60
265,1021,45
265,1341,15
265,1342,30
265,1345,165
265,1351,45
265,1355,60
265,1360,30
265,1363,75
265,1366,30
265,1368,75
265,1372,30
265,1373,15
265,1379,60
264,678,15
264,679,15
264,681,15
264,803,15
264,804,90
264,809,45
264,811,15
264,836,15
264,838,120
264,842,15
264,844,15
264,847,15
264,848,45
264,850,75
264,854,30
264,855,30
264,860,75
264,863,15
264,871,75
264,875,15
264,877,45
264,882,30
264,883,45
264,886,60
264,890,15
264,891,15
264,895,15
264,1032,45
264,1279,180
264,1437,90
263,421,15
263,423,15
263,428,45
263,430,30
263,436,30
263,438,15
263,440,15
263,441,15
263,444,75
263,447,15
263,886,45
263,978,30
263,980,15
263,981,30
263,983,30
263,985,15
262,83,75
262,86,15
262,88,45
262,131,30
262,133,45
262,849,45
262,851,75
262,854,15
262,890,60
262,894,15
262,895,75
262,909,45
262,912,15
262,914,15
262,915,30
262,917,30
262,918,135
262,924,105
262,931,45
262,933,30
262,936,15
262,1061,15
262,1063,90
262,1083,60
262,1085,15
262,1087,45
262,1106,15
262,1132,15
261,565,45
261,568,30
261,575,105
261,867,30
261,869,45
261,911,15
261,912,15
261,1291,15
261,1293,15
260,651,30
260,652,90
260,657,15
260,684,15
260,685,45
260,688,30
260,690,45
260,701,15
260,703,15
260,704,45
260,707,105
260,711,60
260,738,30
260,740,60
260,745,30
260,747,90
260,751,15
260,762,15
260,763,30
260,765,30
260,779,30
260,1123,15
260,1124,15
259,17,30
259,19,135
259,25,30
259,58,15
259,60,75
259,66,15
259,68,15
259,70,15
259,250,75
259,549,15
259,550,15
259,551,30
259,554,75
259,556,15
259,558,30
259,580,30
259,583,15
259,947,15
259,949,60
259,953,15
259,956,45
259,958,15
259,960,15
259,964,45
259,970,45
259,972,45
259,1196,15
259,1198,75
259,1206,135
259,1213,105
259,1218,15
259,1219,90
259,1223,30
259,1225,15
259,1226,30
259,1229,45
259,1233,135
259,1247,30
259,1253,45
259,1257,60
259,1260,45
259,1353,15
259,1355,30
259,1357,75
259,1360,15
259,1362,30
259,1363,15
258,67,30
258,68,15
258,70,105
258,76,60
258,78,90
258,82,60
258,85,105
258,92,120
258,657,30
258,659,15
258,661,15
258,667,75
258,671,45
258,673,45
258,676,105
258,681,15
258,683,45
258,878,45
258,880,75
258,973,15
258,1022,30
258,1025,45
258,1239,15
258,1413,15
258,1415,15
257,86,15
257,88,15
257,89,30
257,92,15
257,94,30
257,98,15
257,100,120
257,625,60
257,653,15
257,655,30
257,674,90
257,816,165
257,822,45
257,825,15
257,828,75
257,833,15
257,834,15
257,885,105
257,891,15
257,1025,15
257,1029,15
257,1031,45
257,1034,90
257,1037,120
257,1043,15
257,1070,15
257,1071,30
257,1074,45
257,1081,15
257,1130,15
257,1137,15
257,1138,15
257,1140,45
257,1145,45
