DayOfYear,MinuteOfDay,Duration
294,1429,2862
296,45,2392
297,113,8229
298,151,7542
298,165,799
298,1435,0
299,157,9503
299,1396,0
300,34,4561
300,1009,2059
301,60,0
301,278,12674
302,238,5038
302,243,255
302,1428,632
302,1430,0
303,43,3184
303,106,1425
304,54,5103
305,86,1220
306,74,3143
307,69,2937
308,157,18936
309,92,0
309,261,9181
309,1358,0
309,1362,130
309,1368,384
310,33,4072
310,91,3442
311,132,10742
312,29,406
312,32,0
312,101,3972
313,46,5998
314,128,6789
315,88,2008
315,186,5861
317,143,2474
318,14,2408
318,1411,1705
320,116,0
320,126,505
321,245,8982
321,248,58
321,250,105
322,274,9397
323,124,3150
324,158,6366
325,245,7107
327,98,0
327,100,0
327,235,4420
327,774,0
328,211,4116
329,50,179
329,167,7061
329,1071,0
329,1076,270
329,1116,1135
330,209,5950
330,209,43
331,105,4297
332,282,4653
332,369,5147
332,1404,4902
334,23,0
334,62,2161
335,23,0
335,142,6949
336,127,3060
337,279,4310
338,254,5502
338,290,2115
339,147,6702
340,35,3282
341,54,0
341,106,3127
341,135,225
342,116,4660
343,236,5858
344,86,1633
345,103,0
345,156,3137
346,133,2628
347,4,3024
347,1253,0
347,1266,0
347,1270,0
347,1271,4
347,1271,0
348,23,0
348,100,4448
349,130,1790
350,169,2438
350,261,143
351,132,3240
352,105,0
352,178,4213
352,184,358
353,67,4097
353,74,248
353,179,1702
354,127,13223
354,1362,902
355,177,7201
356,170,5504
356,766,0
356,766,0
356,767,0
356,777,506
357,258,7282
357,259,20
358,330,7965
359,222,5443
360,221,5540
361,116,461
361,116,0
361,117,0
361,118,0
361,218,5543
361,1119,247
362,220,6043
362,860,1711
363,136,1261
363,281,8676
364,284,9516
364,285,46
365,130,5417
365,1422,181
365,1422,0
365,1425,138
365,1431,395
365,1434,0
1,12,1003
1,262,2298
3,137,674
3,145,498
3,172,1622
3,335,9192
4,163,5831
4,164,43
5,159,2480
5,170,508
6,250,14380
7,25,0
7,259,8809
7,390,7720
8,80,2426
8,1418,0
9,42,2851
10,41,3070
10,1423,3442
11,98,4927
13,112,11189
14,17,0
14,18,4
14,177,8916
15,174,13142
16,159,12371
17,139,11966
17,146,416
18,171,8368
19,224,8405
20,127,6897
21,308,12933
22,55,5097
22,103,2340
23,129,10341
24,9,487
24,182,3916
25,78,1566
26,155,6188
27,134,5956
28,219,10619
29,94,3414
30,147,1596
31,59,0
31,60,0
31,99,2338
32,210,1813
33,18,2426
34,301,2532
35,125,4590
36,37,1443
38,162,1154
40,832,2
41,25,2287
42,246,1465
43,185,1879
44,242,998
45,190,1728
45,232,0
45,234,108
46,184,2533
47,243,3193
48,114,2304
49,217,2022
49,1289,0
49,1289,0
49,1290,0
49,1290,0
50,297,5187
50,1388,1841
52,46,1018
53,81,670
53,111,1228
54,226,6830
55,201,2949
55,846,0
56,253,3036
56,291,2269
56,352,0
56,1345,0
56,1347,0
56,1414,0
56,1416,0
56,1417,0
57,3,1161
57,40,0
57,40,5
57,42,151
57,69,1580
58,208,593
58,988,0
59,47,536
59,103,2139
60,41,0
60,80,1730
61,138,1422
62,63,0
62,63,0
62,85,926
63,211,8599
64,159,3807
65,95,3451
66,9,1728
67,114,5839
67,1199,758
70,833,0
71,49,0
71,53,0
71,72,505
72,1,1085
73,979,1741
73,1411,1759
75,56,2859
76,141,0
76,141,0
76,142,0
76,144,85
77,117,694
77,1005,7161
78,141,446
78,769,0
78,777,0
78,777,0
79,42,828
79,837,2658
80,52,0
80,89,0
80,106,411
82,28,1672
83,70,0
83,161,2076
83,823,0
83,843,1121
83,946,306
84,332,344
85,81,1582
85,1420,0
85,1422,0
85,1427,261
86,90,1072
87,23,1608
89,98,3028
90,59,1798
91,232,5325
92,29,1700
93,135,4255
95,194,7788
95,229,2102
96,117,0
96,117,0
96,120,130
96,184,3848
96,185,0
96,195,596
96,981,261
96,1010,127
96,1134,0
97,175,3879
97,180,308
97,189,509
97,192,188
98,329,7277
99,1096,124
99,1097,0
99,1098,0
100,847,0
100,1297,0
103,154,0
103,221,4060
104,329,4620
104,1425,3426
105,312,546
105,1411,342
106,59,5247
106,60,99
106,1392,635
106,1392,0
109,5,895
109,1365,566
